code,title,description,parts,cost_min,cost_max,severity
P0755,Shift Solenoid B Malfunction,The transmission shift solenoid B is not working properly.,"Shift solenoid B; transmission fluid; wiring",200,800,check_soon
P0760,Shift Solenoid C Malfunction,The transmission shift solenoid C is not working properly.,"Shift solenoid C; transmission fluid; wiring",200,800,check_soon
P0771,Shift Solenoid E Performance or Stuck Off,Shift solenoid E is stuck off or not performing correctly.,"Shift solenoid E; transmission fluid; wiring",200,800,check_soon
P0776,Pressure Control Solenoid B Performance or Stuck Off,The transmission pressure control solenoid B is stuck or not performing.,"Pressure solenoid B; transmission fluid; wiring",200,800,check_soon
P0796,Pressure Control Solenoid C Performance or Stuck Off,The transmission pressure control solenoid C is stuck or not performing.,"Pressure solenoid C; transmission fluid; wiring",200,800,check_soon
P0841,Transmission Fluid Pressure Sensor Switch A Circuit Range/Performance,The transmission fluid pressure sensor A reading is out of range.,"Fluid pressure sensor; wiring; transmission fluid",150,600,check_soon
P0868,Transmission Fluid Pressure Low,The transmission fluid pressure is below the acceptable minimum.,"Transmission fluid; transmission pump; solenoids",250,1000,check_soon
P0882,TCM Power Input Signal Low,The transmission control module is receiving low voltage.,"Wiring; fuses; battery; TCM",200,800,check_soon
P0894,Transmission Component Slipping,A transmission component is slipping during normal operation.,"Transmission fluid; clutch packs; solenoids",300,1500,check_soon
P1000,OBD System Readiness Test Not Complete,The OBD system has not completed its self-test cycles yet.,"Drive cycle required; no parts needed",0,0,check_later
P2096,Post Catalyst Fuel Trim System Too Lean (Bank 1),The fuel trim after the catalytic converter is too lean on bank 1.,"Catalytic converter; O2 sensor; exhaust leaks",200,800,check_soon
P2097,Post Catalyst Fuel Trim System Too Rich (Bank 1),The fuel trim after the catalytic converter is too rich on bank 1.,"Catalytic converter; O2 sensor; fuel injectors",200,800,check_soon
P2109,Throttle Actuator Control Throttle Body Air Flow,The throttle body is not flowing the expected amount of air.,"Throttle body; throttle actuator; wiring",200,700,check_soon
P2111,Throttle Actuator Control System Stuck Open,The throttle plate is stuck in the open position.,"Throttle body; throttle actuator; return spring",200,800,check_soon
P2112,Throttle Actuator Control System Stuck Closed,The throttle plate is stuck in the closed position.,"Throttle body; throttle actuator; wiring",200,800,check_soon
P2122,Throttle Pedal Position Sensor D Circuit Low Input,The throttle pedal position sensor D voltage is too low.,"Accelerator pedal sensor; wiring; connector",150,500,check_soon
P2123,Throttle Pedal Position Sensor D Circuit High Input,The throttle pedal position sensor D voltage is too high.,"Accelerator pedal sensor; wiring; connector",150,500,check_soon
P2127,Throttle Pedal Position Sensor E Circuit Low Input,The throttle pedal position sensor E voltage is too low.,"Accelerator pedal sensor; wiring; connector",150,500,check_soon
P2128,Throttle Pedal Position Sensor E Circuit High Input,The throttle pedal position sensor E voltage is too high.,"Accelerator pedal sensor; wiring; connector",150,500,check_soon
P2135,Throttle Pedal Position Sensor A/B Voltage Correlation,The throttle position sensors A and B readings do not agree.,"Throttle position sensor; throttle body; wiring",150,500,check_soon
P2176,Throttle Actuator Control System Minimum Position Not Learned,The throttle minimum position has not been calibrated.,"Throttle body; PCM calibration",150,500,check_soon
P2188,System Too Rich at Idle (Bank 1),The engine is running too rich at idle on bank 1.,"Fuel injectors; fuel pressure; MAF sensor",150,600,check_soon
P2195,O2 Sensor Signal Biased Lean (Bank 1 Sensor 1),The upstream O2 sensor on bank 1 is biased towards lean.,"O2 sensor; exhaust leaks; fuel system",90,350,check_soon
P2196,O2 Sensor Signal Biased Rich (Bank 1 Sensor 1),The upstream O2 sensor on bank 1 is biased towards rich.,"O2 sensor; fuel injectors; fuel pressure",90,350,check_soon
P2270,O2 Sensor Signal Stuck Lean (Bank 1 Sensor 2),The downstream O2 sensor on bank 1 is stuck reading lean.,"Downstream O2 sensor; catalytic converter; exhaust",90,350,check_soon
P2271,O2 Sensor Signal Stuck Rich (Bank 1 Sensor 2),The downstream O2 sensor on bank 1 is stuck reading rich.,"Downstream O2 sensor; catalytic converter; fuel",90,350,check_soon
P2293,Fuel Pressure Regulator 2 Performance,The secondary fuel pressure regulator is not performing correctly.,"Fuel pressure regulator; fuel pump; fuel filter",200,700,check_soon
P2400,EVAP Leak Detection Pump Control Circuit Open,The EVAP leak detection pump circuit is open.,"EVAP leak detection pump; wiring; connector",100,400,check_later
P2401,EVAP Leak Detection Pump Control Circuit Low,The EVAP leak detection pump circuit voltage is too low.,"EVAP leak detection pump; wiring; connector",100,400,check_later
P2402,EVAP Leak Detection Pump Control Circuit High,The EVAP leak detection pump circuit voltage is too high.,"EVAP leak detection pump; wiring; connector",100,400,check_later
P2563,Turbocharger Boost Control Position Sensor Circuit Range/Performance,The turbo boost control position sensor reading is out of range.,"Boost control solenoid; wiring; turbocharger",200,800,check_soon
P2564,Turbocharger Boost Control Position Sensor Circuit Low,The turbo boost control position sensor voltage is too low.,"Boost control sensor; wiring; connector",200,800,check_soon
P2610,ECM/PCM Internal Engine Off Timer Performance,The engine off timer in the control module is not performing correctly.,"ECM/PCM; battery; wiring",200,800,check_soon
